formulacao;manteiga_1;manteiga_2;oleo;perc_lipidio1;perc_lipidio2;perc_tensoativo;pdi;tamanho;Translucida;PontoDeNuvem;Lipidio1;PontoFusao1;Perc_Ac_Palmitico1;Perc_Ac_Estearico1;Perc_Ac_Oleico1;Perc_Ac_Linoleico1;Perc_Ac_Vacenico1;Perc_Ac_Linolenico1;Perc_Ac_Caprilico1;Perc_Ac_Caprico1;Perc_Ac_Laurico1;Perc_Ac_Miristico1;Perc_Ac_Palmitoleico1;Perc_Ac_Beenico1;Perc_Ac_Valerico1;Perc_Ac_Araquidico1;Perc_Outros1;Perc_AG_Saturados1;Perc_AG_Insaturados1;Lipidio2;PontoFusao2;Perc_Ac_Palmitico2;Perc_Ac_Estearico2;Perc_Ac_Oleico2;Perc_Ac_Linoleico2;Perc_Ac_Vacenico2;Perc_Ac_Linolenico2;Perc_Ac_Caprilico2;Perc_Ac_Caprico2;Perc_Ac_Laurico2;Perc_Ac_Miristico2;Perc_Ac_Palmitoleico2;Perc_Ac_Beenico2;Perc_Ac_Valerico2;Perc_Ac_Araquidico2;Perc_Outros2;Perc_AG_Saturados2;Perc_AG_Insaturados2
7;Cupuaçu;0;Açaí;50;25;25;0,864;631,4;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
8;Cupuaçu;0;Açaí;33,35;16,65;50;0,304;39,33;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
9;Cupuaçu;0;Açaí;16,65;25;58,35;0,419;45,18;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
10;Cupuaçu;0;Açaí;33,35;50;16,65;0,771;530,8;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
11;Cupuaçu;0;Açaí;33,35;33,35;33,3;0,4;243,02;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
1;Cupuaçu ;Cacau;0;25;25;50;0,21;41,03;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cacau;35,5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;NULL;0;72,66;27,33
2;Cupuaçu ;Cacau;0;16,65;50;33,35;0,157;41,33;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cacau;35,5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;NULL;0;72,66;27,33
3;Cupuaçu ;Cacau;0;50;16,65;33,35;0,692;211,2;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cacau;35,5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;NULL;0;72,66;27,33
4;Cupuaçu ;Cacau;0;37,5;37,5;25;0,373;369,9;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cacau;35,5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;NULL;0;72,66;27,33
5;Cupuaçu ;Cacau;0;25;50;25;0,268;657,1;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cacau;35,5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;NULL;0;72,66;27,33
6;Cupuaçu ;Cacau;0;25;16,65;58,35;0,351;42,94;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cacau;35,5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;NULL;0;72,66;27,33
7;Cupuaçu ;Cacau;0;50;25;25;0,662;640,1;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Manteiga de cacau;35,5;38,32;33,54;24,67;1,84;0;0,1;0;0;0;0,13;0,72;0,05;0;NULL;0;72,66;27,33
